Student_ID,Name,Father_Name,Mother_Name,Age,Gender,Class,Section,Roll_Number,City,State,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Screen_Time_Hours,Internet_Access,Owns_Smartphone,Tuition,Family_Income_Level,Parents_Education,Number_of_Siblings,Favourite_Subject,Least_Favourite_Subject,Favourite_Game,Favourite_Food,Food_Type,Career_Goal,Transportation_Mode,Skill_1,Skill_2,Participation_Activity,Sports_Participation,Library_Visits_Per_Month,Assignments_Completed,Projects_Completed,Homework_Submission_Rate,Discipline_Record,Stress_Level,Mental_Wellbeing_Score,Peer_Interaction_Score,Teacher_Feedback,Maths_Marks,Science_Marks,English_Marks,Hindi_Marks,Social_Science_Marks,Computer_Marks,Overall_Percentage,Result,Performance_Level
STU00001,Ojas Saha,Jayan Vyas,Rania Ganguly,11.0,Female,2nd,A,31.0,Lucknow,Madhya Pradesh,62.44,2.1,8.7,8.3,No,Yes,Yes,Low,Secondary,5.0,Hindi,Social Science,Athletics,Dosa,,Athlete,Walking,Leadership,Critical Thinking,Art Club,Yes,,22.0,11.0,77.54,Average,High,7.0,4.0,Average,92.0,94.0,90.0,84.0,40.0,50.0,75.0,Pass,Good
STU00002,Navya Yohannan,Kavya Deshpande,Purab Datta,,Female,3rd,D,51.0,Indore,Uttar Pradesh,80.21,7.2,8.6,2.6,No,No,,Medium,Secondary,3.0,,Maths,Basketball,Burger,Non-Vegetarian,,Walking,Critical Thinking,,Science Fair,No,4.0,17.0,2.0,,Good,Medium,10.0,5.0,Needs Improvement,64.0,92.0,52.0,82.0,75.0,37.0,67.0,Pass,Average
STU00003,Kavya Sidhu,Adah Vohra,Riaan Dani,8.0,Male,,C,8.0,Indore,Uttar Pradesh,71.78,3.7,7.5,2.3,No,Yes,No,Low,Graduate,0.0,Maths,Computer,Football,Biryani,Non-Vegetarian,Business,Bus,Python,Python,Art Club,Yes,6.0,11.0,8.0,81.2,Good,High,,1.0,Average,36.0,40.0,38.0,35.0,70.0,71.0,48.33,Fail,
STU00004,Tanya Bajaj,Ritvik Vyas,Kanav Bal,18.0,Male,10th,B,5.0,Lucknow,Uttar Pradesh,73.44,5.0,7.9,7.5,No,Yes,Yes,Medium,Graduate,0.0,Hindi,Hindi,Hockey,Burger,Vegetarian,Athlete,Private Vehicle,,Graphic Design,Sports Club,No,20.0,8.0,,80.84,Good,High,2.0,3.0,Average,74.0,,66.0,71.0,37.0,97.0,65.17,Fail,Average
STU00005,Jivin Chaudry,Shalv Majumdar,Bhamini Randhawa,16.0,Male,4th,A,25.0,Delhi,,59.05,1.8,5.5,1.1,Yes,Yes,Yes,Medium,,1.0,Hindi,Social Science,Cricket,Burger,Vegetarian,Teacher,Auto,Teamwork,Leadership,Dance,No,19.0,5.0,5.0,61.6,Good,Medium,10.0,6.0,Good,76.0,96.0,52.0,40.0,70.0,57.0,65.17,Pass,Average
STU00006,Anahi Rajagopal,Shalv Barman,Pihu Walla,16.0,Male,2nd,D,38.0,,Telangana,57.3,4.8,9.1,2.8,No,No,No,Low,Primary,3.0,Social Science,Hindi,Volleyball,Paneer,Non-Vegetarian,Artist,Auto,Teamwork,Leadership,Quiz Competition,Yes,10.0,5.0,0.0,48.08,Poor,Low,,10.0,Excellent,38.0,82.0,84.0,40.0,83.0,54.0,63.5,Pass,Average
STU00007,Tejas Ramachandran,Sumer Bose,Advik Sani,10.0,Male,2nd,B,32.0,Mumbai,Gujarat,60.68,7.8,9.1,5.8,,Yes,No,Medium,Graduate,2.0,English,Social Science,Volleyball,,Non-Vegetarian,,Bus,Python,Teamwork,Quiz Competition,Yes,3.0,,11.0,66.07,Poor,High,7.0,10.0,Excellent,90.0,,68.0,46.0,,75.0,76.0,Pass,Good
STU00008,Jayant Master,Myra Dube,Faiyaz Baral,11.0,Male,4th,D,31.0,Indore,Gujarat,59.36,3.0,7.8,4.2,No,No,No,,Primary,3.0,Maths,Social Science,Cricket,Dosa,Non-Vegetarian,Teacher,Bus,Problem Solving,Teamwork,Music,No,0.0,25.0,12.0,83.77,Poor,Low,1.0,1.0,Excellent,,89.0,79.0,82.0,40.0,67.0,66.67,Pass,Average
STU00009,Zara Iyer,Jayant Sachdeva,Biju Basu,13.0,Female,9th,C,52.0,Ahmedabad,Telangana,77.85,7.6,,9.1,No,Yes,Yes,Medium,Post Graduate,2.0,Social Science,Science,Athletics,Burger,Non-Vegetarian,Doctor,Cycle,Video Editing,Public Speaking,Sports Club,Yes,17.0,25.0,2.0,50.68,Good,Medium,8.0,3.0,Average,40.0,79.0,43.0,80.0,36.0,99.0,62.83,,Average
,Tara Loyal,Alisha Tiwari,Anay Sarraf,7.0,Female,3rd,A,11.0,Hyderabad,Madhya Pradesh,79.71,1.3,7.9,4.3,Yes,No,Yes,Low,,5.0,Hindi,Maths,Hockey,,Vegetarian,IAS,Cycle,Public Speaking,Critical Thinking,Quiz Competition,Yes,4.0,7.0,3.0,87.73,Good,Low,1.0,4.0,Needs Improvement,82.0,47.0,51.0,99.0,96.0,37.0,68.67,Pass,
